QNo.,Question,Option A,Option B,Option C,Option D,Answer,Level
109,"What will be the output of the following code? class Demo: def __new__(self): self.__init__(self); print(""Demo's __new__() invoked""); def __init__(self): print(""Demo's __init__() invoked""); class Derived_Demo(Demo): def __new__(self): print(""Derived_Demo's __new__() invoked""); def __init__(self): print(""Derived_Demo's __init__() invoked""); def main(): obj1 = Derived_Demo(); obj2 = Demo(); main()",Derived_Demo?s init() invoked Demo's new() invoked Demo's init() invoked,Derived_Demo's new() invoked Demo's init() invoked Demo's new() invoked,Derived_Demo's new() invoked Demo's new() invoked,Derived_Demo?s init() invoked Demo's init() invoked,B,Medium
110,"What will be the output of the following code? class Test: def __init__(self): self.x = 0; class Derived_Test(Test): def __init__(self): self.y = 1; def main(): b = Derived_Test(); print(b.x, b.y); main()",0 1,0 0,Error because class B inherits A but variable x isn?t inherited,"Error because when object is created, argument must be passed like Derived_Test(1)",C,Medium
111,"What will be the output of the following code? class A(): def disp(self): print(""A disp()""); class B(A): pass; obj = B(); obj.disp()",Invalid syntax for inheritance,"Error because when object is created, argument must be passed",Nothing is printed,A disp(),D,Medium
112,"Write a list comprehension equivalent for the code shown: for i in range(1, 101): if int(i*0.5) == i*0.5: print(i)","[i for i in range(1, 100) if int(i0.5) == (i0.5)]","[i for i in range(1, 101) if int(i0.5) == (i0.5)]","[i for i in range(1, 101) if int(i0.5) = (i0.5)]","[i for i in range(1, 100) if int(i0.5) = (i0.5)]",B,Medium
113,"What will be the output of the code? def f(x, y, z): return x + y + z; f(2, 30, 400)",432,24000,430,No output,A,Medium
114,What is the output of the code? def writer(): title = 'Sir'; name = (lambda x: title + ' ' + x); return name; who = writer(); print(who('Arthur')),Arthur Sir,Sir Arthur,Arthur,None of the mentioned,B,Medium
115,"What will be the output of the code? L = [lambda x: x**2, lambda x: x**3, lambda x: x**4]; for f in L: print(f(3))","27, 81, 343","6, 9, 12","9, 27, 81",None of the mentioned,C,Medium
116,"What will be the output of the code? min = (lambda x, y: x if x < y else y); min(101*99, 102*98)",9997,9999,9996,None of the mentioned,C,Medium
117,What is the correct syntax for defining a lambda function?,lambda x: x + 1,lambda x => x + 1,def lambda x: x + 1,function(x) x + 1,A,Medium
118,"What is the output of the code? def func(x, y=[]): y.append(x); return y; print(func(1)); print(func(2))",[1] [2],"[1] [1, 2]",Error,[1] [None],B,Medium
119,Which function converts an object to a string in Python?,repr(),str(),format(),stringify(),B,Medium
120,What is the correct way to remove an element from a set?,set.remove(x),set.discard(x),del set[x],set.pop(x),A,Medium
121,"What is the output of the code? x = [1, 2, 3, 4]; x[1:3] = [5, 6, 7]; print(x)","[1, 5, 6, 7, 4]","[1, 5, 7, 4]","[1, 2, 3, 4]",Error,A,Medium
122,Which module is used to generate random numbers?,math,random,numbers,time,B,Medium
123,What does the __init__ method do in Python classes?,Initializes a class variable,Initializes an instance variable,Acts as a destructor,Handles inheritance,B,Medium
124,"What is the output of the code? def f(x, lst=[]): lst.append(x); return lst; print(f(1)); print(f(2)); print(f(3, []))","[1] [1, 2] [3]",[1] [2] [3],[1] [2] [],"[1] [1, 2] [1, 2, 3]",A,Medium
125,Which of the following statements is true regarding Python functions?,A function can return multiple values,A function can only return a single value,A function can return no value,Both A and C,D,Medium
126,"What will be the output of the following code? def func(a, b): return a + b; print(func('1', '2'))",3,12,'12',Error,C,Medium
127,"What will be the output of the code? x = [1, 2, 3]; y = [x] * 3; y[0][0] = 100; print(y)","[[100, 2, 3], [1, 2, 3], [1, 2, 3]]","[[100, 2, 3], [100, 2, 3], [100, 2, 3]]","[[1, 2, 3], [1, 2, 3], [1, 2, 3]]",Error,B,Medium
128,"What is the output of the following code? def f(x, y=[]): y.append(x); return y; print(f(1)); print(f(2)); print(f(3))",[1] [2] [3],"[1] [1, 2] [1, 2, 3]","[1] [1, 2] [3]",Error,B,Medium
129,"What will be the output of the code? def func(a, b=[]): b.append(a); return b; print(func(1)); print(func(2)); print(func(3, []))",[1] [2] [3],"[1] [1, 2] [3]","[1] [1, 2] [1, 2, 3]","[1] [1, 2] [3]",B,Medium
130,What will be the output of the code? a = 10; def foo(): a = 5; a += 1; return a; print(foo()); print(a),6 10,6 6,5 10,Error,A,Medium
131,What will be the output of the following code? x = 10; def foo(): global x; x = x + 1; foo(); print(x),10,11,Error,None,B,Medium
132,"What is the result of the following code? x = ""abc""; y = ""abc""; print(x is y)",TRUE,FALSE,Error,None,A,Medium
133,"What will be the output of the code? x = (1, 2, 3); y = (1, 2, 3); print(x is y)",TRUE,FALSE,Error,None,B,Medium
134,"What will be the result of the following code? x = [1, 2, 3]; y = x.copy(); y[0] = 100; print(x, y)","[1, 2, 3] [100, 2, 3]","[100, 2, 3] [100, 2, 3]",Error,None,A,Medium
135,"What will be the output of the following code? def foo(a, b, c=10): print(a, b, c); foo(5, c=20)",Error,5 20 10,Error due to missing positional argument,5 0 20,A,Medium
136,What is the result of the code? x = 'abcd'; print(list(x[i] for i in range(len(x)))),['abcd'],"['a', 'b', 'c', 'd']",['a'],Error,B,Medium
137,"What will be the output of the code? def func(x, y): return x if x > y else y; print(func(2, 3)); print(func(5, 1))",3 5,2 1,1 5,Error,A,Medium
138,What will be the result of the code? x = 'abcdef'; print(x[::2]),'ab','ace','bdf',None,B,Medium
139,What will be the output of the code? x = [i**2 for i in range(5) if i % 2 == 0]; print(x),"[0, 4, 16]","[0, 16]","[0, 1, 4]","[0, 4]",A,Medium
140,"What is the result of the following code? def foo(a, b=[]): b.append(a) return b","[1], [2]","[1], [1, 2]","[2], [1, 2]",Error,B,Hard
141,"What will the following code output? class A: def __init__(self, a): self.a = a def __add__(self, other): return self.a + other.a",5,10,15,Error,C,Hard
142,Which of the following best describes Python's garbage collection mechanism?,It uses reference counting and generational garbage collection,It uses a mark-and-sweep algorithm,It collects unused memory blocks during execution,It must be manually triggered,A,Hard
143,What does the nonlocal keyword do in Python?,It allows access to variables in the global scope,It allows access to variables in the outer (enclosing) scope,It creates a new variable in the local scope,It defines a constant,B,Hard
144,What is the result of the following code? def foo(): try: return 1 finally: return 2,1,2,None,Error,B,Hard
145,What is the primary difference between a deepcopy() and a shallow copy() in Python?,"deepcopy() creates independent copies of nested objects, while shallow copy() copies only top-level objects","shallow copy() creates independent copies of nested objects, while deepcopy() copies only top-level objects",deepcopy() is faster than shallow copy(),shallow copy() can only copy immutable objects,A,Hard
146,What is the purpose of the slots declaration in a Python class?,It defines methods for the class,It limits the instance attributes,It controls inheritance behaviour,It makes a class immutable,B,Hard
147,What will be the output of the following code? class A: def foo(self): return 'foo','foo',"Error, no method foo in class B",TypeError,None,A,Hard
148,What will be the result of the following code? x = 10 def outer(): x = 20 def inner(): nonlocal x x = 30 inner() print(x) outer() print(x),"30, 10","20, 10","30, 30",Error,A,Hard
149,Which of the following best describes the role of the inspect module in Python?,It provides introspection capabilities for live objects,It helps manage multi-threading,It optimizes memory usage,It compiles Python code into bytecode,A,Hard
150,"What will be the output of the following code? x = [1, 2, 3] y = x[:] x[0] = 100 print(y)","[1, 2, 3]","[100, 2, 3]",Error,None,A,Hard
151,What will be the output of this code? class A: def __init__(self): self.x = 1 def update(self): self.x += 1,1,2,Error,None,A,Hard
152,"What will be the result of the following code? class A: def __init__(self, x): self.x = x",5,10,Error,None,B,Hard
153,Which of the following Python expressions is not valid?,[x**2 for x in range(5)],(x**2 for x in range(5)),{x: x**2 for x in range(5)},x: x**2 for x in range(5),D,Hard
154,Which of the following correctly defines a lambda function in Python?,"lambda x, y: x + y","lambda(x, y) { return x + y; }","def lambda(x, y): return x + y","def(x, y): return x + y",A,Hard
155,What does the following code do? def f(): pass,None,0,Error,'',A,Hard
156,What will be the output for the code? def foo(): return [lambda x: x + i for i in range(5)],0,1,4,None,C,Hard
157,"What will the following code output? def foo(a, *args, b=10, **kwargs): print(a, args, b, kwargs)","1 (2, 3) 10 {'b': 5, 'c': 20}","1 (2, 3) 5 {'c': 20}",1 2 3 5 {'c': 20},Error,B,Hard
158,Which of the following is not a valid method for file objects in Python?,read(),write(),close(),flush(),D,Hard
159,"What does the following code do? import re pattern = r'[A-Z][a-z]+' text = 'JohnDoe' match = re.search(pattern, text)",'John','Doe','JohnDoe',Error,A,Hard
160,What is the result of the code? class A: def f(self): return 'A' class B(A): def f(self): return 'B',A A,A B,B A,Error,B,Hard
161,What is the output of the following code? def generator(): yield 1 yield 2 yield 3,1 2,"[1, 2, 3]","1, Stop Iteration",Error,A,Hard
162,Which of the following is used to create an alias for a module in Python?,as,import,from,alias,A,Hard
163,Which of the following is not a valid Python file mode?,r+,a+,x+,rw,D,Hard
164,Which Python module is used for multithreading?,os,threading,multiprocessing,sys,B,Hard
165,What is the purpose of the gc module in Python?,Manages file input and output,Handles exceptions,Interfaces with the garbage collector,Manages system signals,C,Hard
166,What is the time complexity of the in operator when checking membership in a list?,O(1),O(log n),O(n),O(n^2),C,Hard
167,"What is the output of the following code? import re s = 'The rain in Spain' result = re.search(r'\bS\w+', s) print(result.group())",'Spain','rain','in',None,A,Hard
168,"What will be the result of the following code? def func(a, b=2, c=3): return a + b + c print(func(1, c=10))",16,12,6,Error,A,Hard
169,What will be the output of the following code? print(0.1 + 0.2 == 0.3),TRUE,FALSE,Error,None,B,Hard
170,Which of the following is used to access an environment variable in Python?,os.environ(),os.getenv(),os.setenv(),os.env(),B,Hard
171,What is the output of this Python code? s = 'hello' print(s[0].upper() + s[1:]),Hello,hello,HELLO,Error,A,Hard
172,What will be the result of the following Python code? class A: def f(self): return 'A' class B(A): pass b = B() print(b.f()),A,B,None,Error,A,Hard
173,"What will be the output of the following code? a = [1, 2, 3] b = [a, a] b[0][1] = 10 print(b)","[[1, 10, 3], [1, 2, 3]]","[[1, 10, 3], [1, 10, 3]]","[[1, 2, 3], [1, 2, 3]]",Error,B,Hard
174,What will be the output of the following code? x = 5 def foo(x): return lambda y: x + y a = foo(10) print(a(20)),15,30,25,Error,C,Hard
175,What will be the output of the following code? def func(lst=[]): lst.append(1) return lst print(func()) print(func()),"[1] [1, 1]",[1] [1],"[1, 1] [1, 1]",Error,A,Hard
176,"What will be the output of the following code? def f(x): return x * x x = [1, 2, 3, 4] y = map(f, x) print(list(y))","[1, 2, 3, 4]","[1, 4, 9, 16]",Error,"[1, 4, 9]",B,Hard
177,"What will be the output of the following code? a = [1, 2, 3] b = a a = a + [4, 5] print(b)","[1, 2, 3]","[1, 2, 3, 4, 5]",Error,None,A,Hard
178,What will be the output of the following code? def outer(x): def inner(y): return x + y return inner a = outer(10) print(a(5)) print(a(10)),10 20,15 20,None,Error,B,Hard
179,"What will be the output of the following code? x = [1, 2, 3] y = [i**2 for i in x] print(y)","[1, 4, 9]","[2, 4, 6]","[3, 6, 9]",Error,A,Hard
180,"What will be the output of the following code? def f(x): return x // 2 x = [5, 8, 12] y = list(map(f, x)) print(y)","[2, 4, 6]","[2, 4, 5]","[2, 3, 6]",Error,A,Hard
181,"What will be the output of the following code? x = [1, 2, 3] y = [x] * 3 x[0] = 100 print(y)","[[100, 2, 3], [1, 2, 3], [1, 2, 3]]","[[100, 2, 3], [100, 2, 3], [100, 2, 3]]","[[1, 2, 3], [1, 2, 3], [1, 2, 3]]",Error,B,Hard
182,"What will be the output of the following code? a = [1, 2, 3] b = a[:] b[0] = 100 print(a)","[100, 2, 3]","[1, 2, 3]",Error,None,B,Hard
183,What will be the output of the following code? x = 10 y = [lambda: x + i for i in range(3)] print([f() for f in y]),"[10, 11, 12]","[12, 12, 12]","[10, 11, 12, 13]",Error,B,Hard
184,"What will be the output of the following code? a = [1, 2, 3] b = a a[0] = 100 print(b)","[100, 2, 3]","[1, 2, 3]",Error,None,A,Hard
185,"What will be the output of the following code? x = [(1, 2), (3, 4), (5, 6)] x.sort(key=lambda y: y[1], reverse=True) print(x)","[(1, 2), (3, 4), (5, 6)]","[(5, 6), (3, 4), (1, 2)]","[(1, 2), (5, 6), (3, 4)]",Error,B,Hard
186,"What will be the output of the following code? x = [(1, 2), (3, 4), (5, 6)] x[0][1] = 100 print(x)","[(1, 100), (3, 4), (5, 6)]",Error,"[(1, 2), (3, 4), (5, 6)]",None,B,Hard
187,"What will be the output of the following code? x = [1, 2, 3, 4, 5] print(x[1:3])","[1, 2]","[2, 3]","[1, 2, 3]","[2, 3, 4]",B,Hard
188,"What will be the output of the following code? x = (1, 2, 3, [4, 5]) x[3].append(6) print(x)","(1, 2, 3, [4, 5, 6])",Error,"(1, 2, 3, [6])",None,A,Hard
189,What will be the output of the following code? x = 0 for i in range(5): x += i print(x),10,0,5,15,A,Hard
190,"What will be the output of the following code? x = {1: 'a', 2: 'b'} y = x.copy() y[1] = 'z' print(x)","{1: 'a', 2: 'b'}","{1: 'z', 2: 'b'}",Error,None,A,Hard
191,"What will be the output of the following code? x = {1, 2, 3} x.add(4) x.add(4) print(x)","{1, 2, 3, 4}",Error,"{1, 2, 3}",None,A,Hard
192,"What will be the output of the following code? x = {1, 2, 3} x.update([4, 5]) print(x)","{1, 2, 3, 4, 5}",Error,"{4, 5}",None,A,Hard
193,What will be the output of the following code? x = {i: i**2 for i in range(3)} print(x),"{0: 0, 1: 1, 2: 4}","[0, 1, 2]",Error,"{1: 1, 2: 4}",A,Hard
194,What will be the output of the following code? x = [i for i in range(10) if i % 2 == 0] print(x),"[0, 2, 4, 6, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[2, 4, 6, 8, 10]",A,Hard
195,"What will be the output of the following code? x = [1, 2, 3, 4, 5] y = [i for i in x if i % 2 == 0] print(y)","[2, 4]","[1, 3, 5]","[1, 2, 3, 4, 5]",Error,A,Hard
196,What will be the output of the following code? x = (i for i in range(5)) print(next(x)) print(next(x)),0 1,"[0, 1]",0 0,Error,A,Hard
197,What will be the output of the following code? x = [i**2 for i in range(5)] print(x),"[0, 1, 4, 9, 16]","[1, 4, 9, 16]","[1, 2, 3, 4]",Error,A,Hard
198,"What will be the output of the following code? x = {1: 'a', 2: 'b', 3: 'c'} del x[1] print(x)","{2: 'b', 3: 'c'}","{1: 'a', 3: 'c'}",Error,None,A,Hard
199,"What will be the output of the following code? x = [1, 2, 3] y = x y[0] = 100 print(x)","[100, 2, 3]","[1, 2, 3]",Error,None,A,Hard
200,"What will be the output of the following code? x = [1, 2, 3] y = x.copy() y[0] = 100 print(x, y)","[1, 2, 3] [100, 2, 3]","[100, 2, 3] [100, 2, 3]",Error,None,A,Hard
201,"What will be the output of the following code? x = [1, 2, 3] y = x x += [4] print(x, y)","[1, 2, 3, 4] [1, 2, 3]","[1, 2, 3, 4] [1, 2, 3, 4]",Error,None,B,Hard
202,"What will be the output of the following code? x = (1, 2, 3) y = list(x) y[0] = 100 print(y)","[100, 2, 3]","(100, 2, 3)",Error,None,A,Hard
203,"What will be the output of the following code? x = (1, 2, 3) y = (4, 5, 6) print(x + y)","(1, 2, 3, 4, 5, 6)","[1, 2, 3, 4, 5, 6]",Error,None,A,Hard
204,What will be the output of the following code? x = {i: i**2 for i in range(3)} y = x.keys() print(y),"[0, 1, 2]","dict_keys([0, 1, 2])",Error,None,B,Hard
205,"What will be the output of the following code? x = [1, 2, 3, 4, 5] y = x[1:-1] print(y)","[2, 3, 4]","[1, 2, 3, 4, 5]","[2, 3]","[2, 3, 4, 5]",A,Hard
206,"What will be the output of the following code? def f(x): return x * x x = [1, 2, 3] y = [f(i) for i in x] print(y)","[1, 4, 9]","[2, 4, 6]","[3, 6, 9]",Error,A,Hard
207,"What will be the output of the following code? x = [1, 2, 3] y = [x] * 3 x[1] = 100 print(y)","[[1, 100, 3], [1, 2, 3], [1, 2, 3]]","[[1, 100, 3], [1, 100, 3], [1, 100, 3]]","[[1, 2, 3], [1, 2, 3], [1, 2, 3]]",Error,B,Hard
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
